hafta_tarihi,Hisse,RSI(A)_2025,RSI(H)_2025,kapanis_sinyal_haftasi,getiri_1ay(%),getiri_3ay(%),getiri_6ay(%),getiri_12ay(%),getiri_bugune_kadar(%),xu100_1ay(%),xu100_3ay(%),xu100_6ay(%),xu100_12ay(%),xu100_bugune_kadar(%)
2025-08-11,A1CAP,72.4,74.8,11.04,-20.65,9.06,49.46,-27.36,-24.37,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,ACSEL,56.5,55.3,115.0,2.35,-7.57,-2.26,6.61,6.43,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,ADESE,94.5,98.0,3.378,16.76,-28.95,-64.48,-74.54,-74.54,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,AHGAZ,88.7,78.3,34.9594,-5.77,-26.21,-28.61,-3.31,4.01,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,ANELE,74.1,71.3,21.12,-5.97,-25.24,-21.35,557.2,695.93,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,ARCLK,53.1,59.9,140.0,-11.86,-25.57,-5.43,-31.89,-33.21,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,ARSAN,69.3,66.9,2.7639,-5.57,6.73,65.35,25.55,52.32,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,ATATP,62.4,64.6,105.274,20.25,38.03,48.91,169.53,202.07,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,ATLAS,59.7,61.0,6.119,-5.53,-2.76,69.15,3.45,5.25,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,AVHOL,57.3,63.0,49.68,-11.03,-17.91,-18.76,-22.54,-28.86,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,AYEN,56.7,60.0,26.4234,6.54,-7.45,8.9,26.48,20.42,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,BAGFS,65.5,72.4,39.2,-13.37,-27.09,-23.57,-36.63,-31.58,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,BAKAB,50.4,60.4,40.1,-9.98,-7.13,2.84,13.07,0.45,-4.59,-2.8,30.45,30.37,33.93
2025-08-11,BALAT,74.5,68.2,77.5,-10.58,2.84,40.13,-5.81,-10.32,-4.59,-2.8,30.45,30.37,33.93
