Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
ISATR,70.9,5.4,❌,✅,❌,-291.6,❌,—
KRTEK,30.3,15.9,❌,❌,❌,96.1,✅,—
MERKO,29.3,20.8,❌,✅,❌,-10.7,❌,—
FORMT,35.2,22.1,❌,❌,❌,64.8,❌,—
SEKFK,34.8,22.2,❌,❌,❌,89.1,❌,—
BARMA,,23.2,❌,❌,❌,79.2,❌,—
TEZOL,41.1,26.1,✅,❌,✅,71.5,❌,—
IHYAY,38.0,26.3,❌,❌,❌,87.8,❌,—
ZOREN,35.6,27.7,❌,❌,❌,81.4,❌,—
EKIZ,44.1,27.7,❌,❌,❌,94.8,❌,—
VAKFN,46.0,28.0,❌,❌,❌,98.4,✅,—
VESBE,31.5,28.2,❌,❌,❌,92.8,❌,—
IHLAS,39.9,28.4,❌,✅,❌,88.0,❌,—
IMASM,40.7,28.8,❌,❌,❌,17.5,❌,—
MEGAP,39.1,28.9,❌,❌,❌,63.2,❌,—
USAK,39.6,29.3,✅,✅,✅,85.1,❌,—
TMSN,38.7,29.4,❌,❌,❌,98.7,✅,—
COSMO,43.7,29.9,❌,❌,❌,74.4,❌,—
ALVES,,29.9,✅,❌,✅,-22.9,❌,—
QNBTR,46.5,30.0,❌,❌,❌,99.9,✅,—
CVKMD,45.3,30.2,❌,❌,❌,95.8,✅,—
SURGY,,30.3,❌,❌,❌,34.8,❌,—
SODSN,39.3,30.3,✅,❌,✅,76.5,❌,—
OSTIM,41.2,30.5,❌,❌,❌,96.6,✅,—
IHGZT,43.2,30.7,✅,❌,✅,84.2,❌,—
GENTS,43.9,30.9,❌,❌,❌,94.9,❌,—
OTTO,36.9,31.0,✅,✅,✅,84.9,❌,—
VESTL,32.3,31.0,❌,❌,❌,92.7,❌,—
SEGYO,45.0,31.4,❌,❌,❌,90.0,❌,—
AVTUR,46.6,31.4,❌,❌,❌,96.9,✅,—
ARFYE,,31.6,❌,❌,❌,,❌,—
KZBGY,41.9,32.1,✅,❌,✅,85.4,❌,—
LIDER,43.5,32.3,❌,❌,❌,87.1,❌,—
YYAPI,40.7,32.3,❌,✅,❌,84.5,❌,—
A1CAP,46.4,32.4,✅,❌,✅,91.3,❌,—
MEKAG,41.8,32.4,❌,❌,❌,31.4,❌,—
ENSRI,42.3,32.5,✅,✅,✅,-66.5,❌,—
DARDL,37.0,32.5,❌,❌,❌,88.6,❌,—
MZHLD,40.6,32.6,✅,❌,✅,97.6,✅,—
RAYSG,39.0,32.6,❌,✅,❌,89.0,❌,—
BUCIM,40.1,32.6,✅,✅,✅,98.0,✅,🟢
OBAMS,,32.8,✅,✅,✅,-337.6,❌,—
ARCLK,39.5,32.8,❌,❌,❌,95.8,✅,—
KONTR,34.0,32.8,❌,✅,❌,-54.1,❌,—
UNLU,39.2,32.9,❌,❌,❌,88.5,❌,—
CANTE,39.3,32.9,✅,✅,✅,23.5,❌,—
BEGYO,,33.0,✅,✅,✅,40.1,❌,—
BMSCH,46.1,33.0,✅,❌,✅,76.9,❌,—
TUKAS,37.9,33.0,✅,❌,✅,85.0,❌,—
KATMR,44.5,33.1,❌,❌,❌,87.2,❌,—
ASUZU,42.3,33.2,✅,❌,✅,98.6,✅,—
DCTTR,,33.2,❌,❌,❌,42.7,❌,—
NATEN,38.5,33.2,✅,✅,✅,95.0,❌,—
TRILC,38.0,33.2,❌,✅,❌,61.4,❌,—
EUREN,36.9,33.3,❌,❌,❌,-6.3,❌,—
PGSUS,37.8,33.3,❌,❌,❌,92.7,❌,—
CONSE,36.2,33.5,❌,❌,❌,89.5,❌,—
VRGYO,36.3,33.5,✅,✅,✅,-85.1,❌,—
YESIL,38.0,33.5,❌,✅,❌,75.4,❌,—
LRSHO,42.4,33.6,❌,❌,❌,85.2,❌,—
KOTON,,33.7,✅,❌,✅,,❌,—
MOPAS,,33.8,✅,❌,✅,83.5,❌,—
YBTAS,38.2,34.0,❌,✅,❌,7.0,❌,—
BERA,42.8,34.0,❌,❌,❌,88.6,❌,—
IHLGM,43.8,34.1,✅,❌,✅,97.7,✅,—
MAKTK,45.5,34.2,✅,❌,✅,97.6,✅,—
ISYAT,43.8,34.3,❌,❌,❌,97.3,✅,—
AKGRT,48.3,34.4,❌,❌,❌,97.7,✅,—
PKENT,36.4,34.5,❌,✅,❌,79.0,❌,—
ALKA,47.6,34.5,✅,❌,✅,98.2,✅,—
NIBAS,47.1,34.5,❌,❌,❌,61.7,❌,—
PAPIL,42.6,34.7,❌,❌,❌,89.2,❌,—
KRVGD,46.3,34.7,❌,❌,❌,85.1,❌,—
MNDTR,38.7,34.7,❌,❌,❌,98.1,✅,—
AKYHO,41.2,34.8,✅,❌,✅,98.0,✅,—
ZERGY,,34.9,✅,❌,✅,,❌,—
ARZUM,37.7,35.0,✅,✅,✅,34.4,❌,—
EMKEL,43.1,35.3,❌,❌,❌,91.5,❌,—
SKBNK,46.3,35.3,✅,❌,✅,95.5,✅,—
EGEEN,38.3,35.4,❌,❌,❌,99.3,✅,—
ISMEN,47.7,35.4,❌,❌,❌,93.9,❌,—
BULGS,,35.6,❌,❌,❌,82.7,❌,—
FENER,34.6,35.6,✅,✅,✅,5.9,❌,—
ATAGY,44.4,35.7,❌,❌,❌,93.6,❌,—
ERBOS,43.9,35.7,✅,❌,✅,99.2,✅,—
YKSLN,33.8,35.7,✅,✅,✅,93.4,❌,—
DESA,44.9,35.8,❌,❌,❌,99.5,✅,—
KAYSE,41.4,35.9,✅,❌,✅,88.8,❌,—
OYLUM,44.8,36.0,❌,❌,❌,97.6,✅,—
KZGYO,42.4,36.1,❌,❌,❌,-8954.1,❌,—
MARTI,37.3,36.1,❌,❌,❌,88.3,❌,—
VKFYO,46.7,36.1,❌,❌,❌,92.5,❌,—
MRGYO,43.0,36.2,✅,✅,✅,91.2,❌,—
VAKFA,,36.3,✅,❌,✅,,❌,—
KSTUR,43.4,36.6,❌,❌,❌,54.3,❌,—
DERHL,46.2,36.6,✅,✅,✅,72.0,❌,—
VKING,42.0,36.7,❌,❌,❌,97.8,✅,—
ADESE,45.2,36.7,✅,✅,✅,75.8,❌,—
SNGYO,46.7,36.8,❌,❌,❌,97.0,✅,—
BLCYT,45.4,36.8,✅,✅,✅,85.0,❌,—
KLRHO,,36.8,❌,✅,❌,20.8,❌,—
SRVGY,40.7,36.8,❌,❌,❌,93.5,❌,—
CEMTS,46.3,36.9,✅,❌,✅,97.6,✅,—
CASA,41.6,37.0,❌,❌,❌,-26.3,❌,—
MEGMT,52.2,37.0,❌,❌,❌,90.6,❌,—
OYYAT,47.5,37.2,✅,❌,✅,99.1,✅,—
IHEVA,45.6,37.3,❌,❌,❌,99.0,✅,—
SERNT,,37.3,❌,❌,❌,,❌,—
TLMAN,44.6,37.3,✅,❌,✅,97.3,✅,—
ULAS,45.8,37.3,❌,❌,❌,96.3,✅,—
ARENA,43.3,37.4,✅,❌,✅,98.3,✅,—
SANKO,45.4,37.4,✅,❌,✅,98.4,✅,—
CMENT,43.0,37.4,❌,❌,❌,98.4,✅,—
PAHOL,,37.4,✅,❌,✅,,❌,—
GLCVY,47.5,37.5,✅,❌,✅,81.5,❌,—
KONKA,44.2,37.5,✅,❌,✅,94.7,❌,—
BTCIM,50.5,37.6,✅,❌,✅,94.3,❌,—
RTALB,47.3,37.7,✅,❌,✅,93.2,❌,—
KUTPO,47.4,37.7,❌,❌,❌,97.8,✅,—
HATEK,44.0,37.7,✅,❌,✅,88.1,❌,—
SMRVA,,37.7,❌,✅,❌,-189.7,❌,—
ATAKP,41.6,37.8,✅,❌,✅,46.3,❌,—
CEMAS,46.2,37.9,✅,✅,✅,93.4,❌,—
ANGEN,39.8,37.9,✅,❌,✅,62.1,❌,—
ARTMS,,37.9,❌,❌,❌,31.6,❌,—
BIZIM,42.6,37.9,❌,❌,❌,97.0,✅,—
LUKSK,47.6,37.9,❌,❌,❌,98.1,✅,—
ISSEN,39.9,38.0,❌,❌,❌,74.3,❌,—
TUCLK,37.6,38.0,✅,✅,✅,92.4,❌,—
ELITE,44.8,38.0,✅,❌,✅,92.5,❌,—
SISE,48.3,38.1,❌,❌,❌,95.3,✅,—
HLGYO,56.2,38.2,❌,❌,❌,98.7,✅,—
EKOS,,38.3,✅,❌,✅,41.5,❌,—
ERCB,35.6,38.3,❌,❌,❌,-25.0,❌,—
FROTO,46.4,38.3,✅,✅,✅,90.0,❌,—
KLGYO,46.3,38.4,✅,✅,✅,96.5,✅,🟢
TEKTU,46.6,38.4,❌,❌,❌,95.6,✅,—
SELVA,44.8,38.4,❌,❌,❌,-150.0,❌,—
KENT,36.9,38.5,❌,✅,❌,70.8,❌,—
FZLGY,,38.5,❌,❌,❌,45.9,❌,—
LKMNH,46.8,38.6,✅,❌,✅,99.3,✅,—
DAPGM,47.2,38.6,❌,❌,❌,87.4,❌,—
