Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
FADE,54.9,✅,✅,✅,✅,53.3,✅,✅,🟢
GUBRF,61.5,✅,✅,✅,✅,54.1,✅,✅,🟢
ULUUN,61.7,✅,✅,✅,✅,55.5,✅,✅,🟢
TRENJ,66.0,✅,✅,✅,✅,58.2,✅,✅,🟢
ASELS,76.1,✅,✅,✅,✅,58.4,✅,✅,🟢
TRMET,65.8,✅,✅,✅,✅,58.4,✅,✅,🟢
SDTTR,57.5,✅,✅,✅,✅,58.8,✅,✅,🟢
RYSAS,70.9,✅,✅,✅,✅,59.9,✅,✅,🟢
ALBRK,64.5,✅,✅,✅,✅,60.3,✅,✅,🟢
DOCO,64.3,✅,✅,✅,✅,60.9,✅,✅,🟢
KGYO,79.0,✅,✅,✅,✅,61.0,✅,✅,🟢
AGESA,73.0,✅,✅,✅,✅,62.9,✅,✅,🟢
BOBET,52.6,✅,✅,✅,✅,63.5,✅,✅,🟢
TNZTP,63.8,✅,✅,✅,✅,63.6,✅,✅,🟢
PEKGY,69.8,✅,✅,✅,✅,63.7,✅,✅,🟢
BIGTK,57.7,✅,✅,✅,✅,64.0,✅,✅,🟢
AHGAZ,64.5,✅,✅,✅,✅,64.1,✅,✅,🟢
PSDTC,63.6,✅,✅,✅,✅,64.3,✅,✅,🟢
EGPRO,65.9,✅,✅,✅,✅,64.3,✅,✅,🟢
BRSAN,63.2,✅,✅,✅,✅,64.7,✅,✅,🟢
INDES,67.2,✅,✅,✅,✅,65.2,✅,✅,🟢
AKCNS,73.5,✅,✅,✅,✅,65.4,✅,✅,🟢
ISGYO,68.7,✅,✅,✅,✅,65.7,✅,✅,🟢
SANFM,59.5,✅,✅,✅,✅,66.1,✅,✅,🟢
ASTOR,80.0,✅,✅,✅,✅,66.7,✅,✅,🟢
ORGE,69.1,✅,✅,✅,✅,67.1,✅,✅,🟢
EUPWR,82.1,✅,✅,✅,✅,67.1,✅,✅,🟢
ETYAT,81.2,✅,✅,✅,✅,68.4,✅,✅,🟢
VBTYZ,68.9,✅,✅,✅,✅,68.6,✅,✅,🟢
VERUS,66.6,✅,✅,✅,✅,69.4,✅,✅,🟢
KRDMD,74.3,✅,✅,✅,✅,69.7,✅,✅,🟢
PCILT,70.8,✅,✅,✅,✅,69.8,✅,✅,🟢
IZMDC,82.4,✅,✅,✅,✅,75.0,✅,✅,🟢
ATATP,79.9,✅,✅,✅,✅,77.0,✅,✅,🟢
DAGI,74.3,✅,✅,✅,✅,77.7,✅,✅,🟢
TGSAS,76.7,✅,✅,✅,✅,78.7,✅,✅,🟢
OZSUB,82.5,✅,✅,✅,✅,78.8,✅,✅,🟢
SELEC,89.2,✅,✅,✅,✅,79.2,✅,✅,🟢
RYGYO,81.4,✅,✅,✅,✅,79.2,✅,✅,🟢
KRDMA,75.0,✅,✅,✅,✅,80.7,✅,✅,🟢
ANELE,95.2,✅,✅,✅,✅,83.7,✅,✅,🟢
TRHOL,97.7,✅,✅,✅,✅,88.2,✅,✅,🟢
IEYHO,98.5,✅,✅,✅,✅,98.1,✅,✅,🟢
DUNYH,88.8,✅,✅,✅,✅,98.8,✅,✅,🟢
