Hisse,RSI(A),RSI(H),RSI(H)↑,MACD(H)↑,OBV(H)↑,OBV ATH %,OBV ATH(≥95%),SINYAL
VAKFN,46.2,30.8,✅,✅,✅,98.3,✅,🟢
GENTS,44.2,31.6,✅,✅,✅,95.6,✅,🟢
IHLGM,43.6,36.2,✅,✅,✅,97.2,✅,🟢
ALKA,48.4,38.1,✅,✅,✅,98.4,✅,🟢
MZHLD,43.0,38.7,✅,✅,✅,98.1,✅,🟢
BFREN,33.6,39.2,✅,✅,✅,98.8,✅,🟢
MAKTK,47.3,39.2,✅,✅,✅,98.3,✅,🟢
SRVGY,41.5,40.0,✅,✅,✅,95.8,✅,🟢
OYYAT,48.0,40.2,✅,✅,✅,99.9,✅,🟢
ISYAT,45.4,40.8,✅,✅,✅,97.3,✅,🟢
IHEVA,45.7,41.2,✅,✅,✅,99.0,✅,🟢
TEKTU,47.5,41.3,✅,✅,✅,96.0,✅,🟢
BAYRK,46.3,42.0,✅,✅,✅,98.6,✅,🟢
GZNMI,42.4,42.2,✅,✅,✅,99.0,✅,🟢
TSGYO,44.2,43.9,✅,✅,✅,95.8,✅,🟢
OTKAR,42.7,44.2,✅,✅,✅,99.7,✅,🟢
PNSUT,50.1,44.3,✅,✅,✅,95.8,✅,🟢
PLTUR,48.6,45.0,✅,✅,✅,99.8,✅,🟢
TERA,55.8,45.5,✅,✅,✅,95.1,✅,🟢
DYOBY,47.2,46.1,✅,✅,✅,97.9,✅,🟢
BESLR,48.6,46.2,✅,✅,✅,98.2,✅,🟢
ECILC,53.7,46.3,✅,✅,✅,97.3,✅,🟢
TSKB,50.9,46.4,✅,✅,✅,99.1,✅,🟢
PETUN,52.3,47.2,✅,✅,✅,96.6,✅,🟢
SNGYO,49.6,47.8,✅,✅,✅,96.7,✅,🟢
BUCIM,44.6,48.9,✅,✅,✅,98.8,✅,🟢
GEDZA,54.3,49.6,✅,✅,✅,96.6,✅,🟢
KLGYO,50.0,49.8,✅,✅,✅,96.5,✅,🟢
PATEK,,50.0,✅,✅,✅,98.9,✅,🟢
CEOEM,48.9,50.1,✅,✅,✅,96.2,✅,🟢
BOSSA,51.2,50.2,✅,✅,✅,99.8,✅,🟢
EDIP,59.7,50.5,✅,✅,✅,99.3,✅,🟢
MAALT,51.1,50.7,✅,✅,✅,98.4,✅,🟢
TAVHL,56.6,51.3,✅,✅,✅,100.0,✅,🟢
GARAN,56.3,51.6,✅,✅,✅,99.2,✅,🟢
BASCM,55.5,51.8,✅,✅,✅,97.8,✅,🟢
MNDRS,51.6,51.8,✅,✅,✅,99.6,✅,🟢
NTGAZ,63.5,52.6,✅,✅,✅,98.2,✅,🟢
YKBNK,55.7,52.7,✅,✅,✅,97.9,✅,🟢
AKBNK,55.6,52.7,✅,✅,✅,100.0,✅,🟢
FADE,54.9,53.3,✅,✅,✅,96.0,✅,🟢
FRIGO,57.7,53.5,✅,✅,✅,97.5,✅,🟢
OZKGY,55.0,53.8,✅,✅,✅,100.0,✅,🟢
KNFRT,52.6,53.8,✅,✅,✅,100.0,✅,🟢
EKGYO,58.2,54.0,✅,✅,✅,97.9,✅,🟢
IZFAS,70.1,54.4,✅,✅,✅,98.0,✅,🟢
OYAKC,54.7,54.9,✅,✅,✅,98.1,✅,🟢
GUBRF,61.5,55.3,✅,✅,✅,99.1,✅,🟢
VAKBN,57.2,55.9,✅,✅,✅,98.3,✅,🟢
ULUUN,61.7,56.2,✅,✅,✅,100.0,✅,🟢
EGGUB,59.8,57.8,✅,✅,✅,100.0,✅,🟢
TRENJ,66.0,58.1,✅,✅,✅,100.0,✅,🟢
ASELS,76.1,58.4,✅,✅,✅,100.0,✅,🟢
SKYMD,,58.8,✅,✅,✅,97.6,✅,🟢
ISBTR,55.1,58.9,✅,✅,✅,98.4,✅,🟢
TRMET,65.8,59.0,✅,✅,✅,100.0,✅,🟢
DOHOL,63.9,59.3,✅,✅,✅,99.8,✅,🟢
BIOEN,50.8,59.6,✅,✅,✅,98.1,✅,🟢
TRCAS,66.8,59.6,✅,✅,✅,99.2,✅,🟢
BOBET,52.6,59.9,✅,✅,✅,96.5,✅,🟢
