Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
DUNYH,39.7,❌,❌,❌,✅,2.9,❌,❌,—
ISATR,70.9,❌,❌,❌,❌,5.4,❌,✅,—
FORMT,32.0,❌,❌,❌,❌,15.6,❌,❌,—
LYDHO,38.1,❌,❌,❌,❌,18.6,❌,❌,—
BTCIM,36.5,❌,❌,❌,❌,18.7,❌,❌,—
OTTO,32.2,❌,❌,❌,❌,19.5,❌,❌,—
BSOKE,40.4,❌,❌,❌,✅,19.6,❌,❌,—
KRTEK,30.6,✅,❌,✅,❌,19.8,✅,✅,—
MERKO,28.9,❌,❌,❌,❌,19.8,❌,✅,—
A1CAP,36.2,❌,❌,❌,❌,20.7,❌,❌,—
SEKFK,33.3,❌,❌,❌,✅,20.8,❌,❌,—
IHYAY,35.9,❌,❌,❌,❌,21.5,❌,❌,—
VRGYO,31.2,❌,❌,❌,❌,21.6,❌,❌,—
EGEPO,42.3,❌,❌,❌,❌,21.9,❌,❌,—
USAK,37.6,❌,❌,❌,❌,22.0,❌,❌,—
MEDTR,35.1,❌,❌,❌,❌,22.1,❌,❌,—
LYDYE,40.2,❌,❌,❌,❌,22.1,❌,❌,—
MEGAP,36.7,❌,❌,❌,❌,22.2,❌,❌,—
SODSN,35.9,❌,❌,❌,❌,22.5,❌,❌,—
RAYSG,35.7,❌,❌,❌,❌,22.6,❌,❌,—
RTALB,39.6,❌,❌,❌,❌,22.8,❌,❌,—
DARDL,34.3,❌,❌,❌,❌,22.9,❌,❌,—
YBTAS,35.7,❌,❌,❌,❌,23.0,❌,❌,—
IMASM,36.8,❌,❌,❌,❌,23.0,❌,❌,—
EKIZ,39.9,❌,❌,❌,❌,23.3,❌,❌,—
YYAPI,38.1,❌,❌,❌,❌,23.5,❌,❌,—
VAKFN,42.0,❌,❌,❌,❌,23.7,❌,❌,—
SAFKR,39.0,❌,❌,❌,❌,23.8,❌,❌,—
PAMEL,36.4,❌,❌,❌,❌,23.9,❌,❌,—
CMENT,37.0,❌,❌,❌,✅,24.2,❌,❌,—
YONGA,35.7,❌,❌,❌,❌,24.3,❌,❌,—
IZINV,36.2,❌,❌,❌,❌,24.4,❌,❌,—
ONCSM,38.8,❌,❌,❌,❌,24.5,❌,❌,—
