Hisse,RSI(A),RSI(A)↑,MACD(A)↑,OBV(A)↑,OBV ATH~,RSI(H),RSI(H)↑,MACD(H)↑,SINYAL
AKCNS,73.1,✅,✅,✅,✅,64.4,✅,✅,🟢
ANELE,93.5,✅,✅,✅,✅,76.9,✅,✅,🟢
ARDYZ,79.5,✅,✅,✅,✅,80.6,✅,✅,🟢
ASELS,75.6,✅,✅,✅,✅,57.2,✅,✅,🟢
ASTOR,79.7,✅,✅,✅,✅,66.1,✅,✅,🟢
ATATP,75.4,✅,✅,✅,✅,69.1,✅,✅,🟢
AVGYO,61.7,✅,✅,✅,✅,56.7,✅,✅,🟢
AYGAZ,68.6,✅,✅,✅,✅,64.9,✅,✅,🟢
BOSSA,53.2,✅,✅,✅,✅,53.8,✅,✅,🟢
BRSAN,58.8,✅,✅,✅,✅,57.2,✅,✅,🟢
CRFSA,85.2,✅,✅,✅,✅,81.8,✅,✅,🟢
CUSAN,55.7,✅,✅,✅,✅,56.1,✅,✅,🟢
DAGI,70.1,✅,✅,✅,✅,69.8,✅,✅,🟢
DOCO,64.2,✅,✅,✅,✅,61.4,✅,✅,🟢
DUNYH,86.3,✅,✅,✅,✅,97.9,✅,✅,🟢
ESCOM,63.2,✅,✅,✅,✅,62.0,✅,✅,🟢
ETYAT,81.5,✅,✅,✅,✅,77.9,✅,✅,🟢
GENIL,58.0,✅,✅,✅,✅,59.8,✅,✅,🟢
GEREL,82.1,✅,✅,✅,✅,61.3,✅,✅,🟢
GOODY,47.6,✅,✅,✅,✅,49.1,✅,✅,🟢
IEYHO,98.3,✅,✅,✅,✅,97.6,✅,✅,🟢
ISGYO,67.9,✅,✅,✅,✅,64.1,✅,✅,🟢
IZMDC,81.3,✅,✅,✅,✅,74.9,✅,✅,🟢
KCAER,59.7,✅,✅,✅,✅,64.6,✅,✅,🟢
KCHOL,62.7,✅,✅,✅,✅,57.1,✅,✅,🟢
KERVN,87.3,✅,✅,✅,✅,85.0,✅,✅,🟢
KLSYN,70.8,✅,✅,✅,✅,61.5,✅,✅,🟢
KRPLS,61.8,✅,✅,✅,✅,59.1,✅,✅,🟢
MARKA,65.0,✅,✅,✅,✅,68.0,✅,✅,🟢
MTRKS,62.7,✅,✅,✅,✅,65.0,✅,✅,🟢
OZSUB,81.5,✅,✅,✅,✅,80.9,✅,✅,🟢
PAMEL,45.0,✅,✅,✅,✅,47.0,✅,✅,🟢
PEKGY,67.9,✅,✅,✅,✅,59.8,✅,✅,🟢
POLHO,72.6,✅,✅,✅,✅,62.7,✅,✅,🟢
RYGYO,78.9,✅,✅,✅,✅,74.1,✅,✅,🟢
SDTTR,56.5,✅,✅,✅,✅,56.6,✅,✅,🟢
SELEC,85.3,✅,✅,✅,✅,71.5,✅,✅,🟢
TEHOL,72.0,✅,✅,✅,✅,82.0,✅,✅,🟢
TMPOL,67.2,✅,✅,✅,✅,61.3,✅,✅,🟢
TRHOL,96.5,✅,✅,✅,✅,80.3,✅,✅,🟢
TUPRS,76.3,✅,✅,✅,✅,76.2,✅,✅,🟢
UFUK,68.7,✅,✅,✅,✅,63.3,✅,✅,🟢
VANGD,82.8,✅,✅,✅,✅,62.0,✅,✅,🟢
VERUS,63.1,✅,✅,✅,✅,63.1,✅,✅,🟢
