build,kod,periyot,formasyon,sinif,yon,durum,formasyon_tarihi,teyit_tarihi,kapanis,formasyon_tepe,formasyon_dip,teyit_seviyesi,teyit_sarti,gecersizlik_seviyesi,gecersizlik_notu
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ALCTL,HAFTALIK,Yutan Ayı,A,AYI,AYI TEYİDİ,2026-08-07,,175.0,183.0,161.3,161.3,Formasyon kendi içinde teyitli,183.0,183.00 üstü formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ANSGR,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,28.6,28.7,26.14,28.7,Formasyon kendi içinde teyitli,26.14,26.14 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,BURVA,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,850.0,945.0,700.0,945.0,Formasyon kendi içinde teyitli,700.0,700.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,DITAS,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,25.56,27.0,22.0,27.0,Formasyon kendi içinde teyitli,22.0,22.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,GIPTA,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,67.65,67.65,56.95,67.65,Formasyon kendi içinde teyitli,56.95,56.95 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,INFO,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,7.37,7.6,5.4,7.6,Formasyon kendi içinde teyitli,5.4,5.40 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,KENT,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,420.0,420.0,316.75,420.0,Formasyon kendi içinde teyitli,316.75,316.75 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MGROS,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,654.5,655.0,608.0,655.0,Formasyon kendi içinde teyitli,608.0,608.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,MPARK,HAFTALIK,Morning Star,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,426.75,429.75,394.0,429.75,Formasyon kendi içinde teyitli,394.0,394.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,OYAYO,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,47.84,51.4,42.18,51.4,Formasyon kendi içinde teyitli,42.18,42.18 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,SEGMN,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,52.0,54.8,45.0,54.8,Formasyon kendi içinde teyitli,45.0,45.00 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,TCELL,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,105.1,108.4,98.95,108.4,Formasyon kendi içinde teyitli,98.95,98.95 altı formasyonu bozar
MUM_TARAMA_2026-08-11_v1.7_STRICT_RAW_OHLC,ULUSE,HAFTALIK,Yutan Boğa,A,BOĞA,BOĞA TEYİDİ,2026-08-07,,300.5,308.5,255.5,308.5,Formasyon kendi içinde teyitli,255.5,255.50 altı formasyonu bozar
