kod,hata
ALMAD,Yahoo verisi yok / yetersiz
DAGHL,Yahoo verisi yok / yetersiz
DOBUR,Yahoo verisi yok / yetersiz
EFORC,Yahoo verisi yok / yetersiz
GRTRK,Yahoo verisi yok / yetersiz
IDEAS,Yahoo verisi yok / yetersiz
IPEKE,Yahoo verisi yok / yetersiz
ITTFH,Yahoo verisi yok / yetersiz
KARYE,Yahoo verisi yok / yetersiz
KERVT,Yahoo verisi yok / yetersiz
KOZAA,Yahoo verisi yok / yetersiz
KOZAL,Yahoo verisi yok / yetersiz
METUR,Yahoo verisi yok / yetersiz
MIPAZ,Yahoo verisi yok / yetersiz
PEHOL,Yahoo verisi yok / yetersiz
QNBFB,Yahoo verisi yok / yetersiz
QNBFL,Yahoo verisi yok / yetersiz
QUICK,Yahoo verisi yok / yetersiz
ROYAL,Yahoo verisi yok / yetersiz
SELGD,Yahoo verisi yok / yetersiz
SNKRN,Yahoo verisi yok / yetersiz
TETMT,Yahoo verisi yok / yetersiz
UZERB,Yahoo verisi yok / yetersiz
YGYO,Yahoo verisi yok / yetersiz
ISKUR,"Haftalık veri güncel değil; beklenen 2026-09-04, gelen 2026-08-14"
